sexo,forma_envio_solicitacao,estado_onde_reside,produto_solicitado,dia_vencimento,tipo_endereco,idade,estado_civil,qtde_dependentes,nacionalidade,qtde_contas_bancarias,renda_mensal_regular,renda_extra,possui_telefone_residencial,possui_email,possui_cartao_visa,possui_cartao_mastercard,possui_cartao_diners,possui_cartao_amex,possui_outros_cartoes,possui_carro,vinculo_formal_com_empresa,meses_no_trabalho,local_onde_reside,tipo_residencia,meses_na_residencia,profissao,ocupacao,profissao_companheiro,grau_instrucao_companheiro,inadimplente
M,presencial,PB,1,10,1,26,1,2,1,1,450.0,0.0,1,1,0,0,0,0,0,1,0,0,586.0,1.0,5.0,9.0,5.0,0.0,0.0,0
M,internet,MT,1,10,1,64,1,0,1,0,900.0,0.0,1,1,0,0,0,0,0,0,0,0,780.0,1.0,35.0,,4.0,,,1
F,presencial,SP,1,15,1,27,6,2,1,1,664.0,0.0,1,1,0,0,0,0,0,1,1,0,716.0,1.0,4.0,9.0,2.0,11.0,0.0,1
F,internet,SP,2,10,1,35,1,2,1,0,500.0,0.0,1,1,0,0,0,0,0,0,0,0,113.0,0.0,9.0,,,,,1
F,presencial,SP,1,25,1,55,2,0,1,1,830.0,0.0,1,1,0,1,0,0,0,0,1,0,605.0,1.0,20.0,16.0,1.0,,,0
F,internet,AL,7,15,1,47,1,0,1,0,380.0,0.0,1,1,0,0,0,0,0,0,1,0,570.0,1.0,1.0,9.0,2.0,11.0,,1
M,internet,BA,1,10,1,51,1,0,1,0,1400.0,0.0,1,1,1,0,0,0,0,0,0,0,484.0,1.0,,2.0,5.0,,,0
F,internet,SP,1,25,1,28,2,1,1,0,978.0,0.0,1,1,0,0,0,0,0,0,1,0,614.0,2.0,0.0,9.0,5.0,,,1
M,presencial,PA,1,15,1,26,1,0,1,1,975.0,0.0,1,0,0,0,0,0,0,1,1,0,685.0,1.0,9.0,9.0,2.0,0.0,0.0,0
F,internet,GO,2,10,1,20,2,0,1,0,380.0,0.0,1,1,0,0,0,0,0,0,1,0,756.0,4.0,1.0,9.0,2.0,,,0
M,presencial,PI,1,10,1,42,2,0,1,1,450.0,0.0,1,0,0,0,0,0,0,1,1,0,640.0,1.0,7.0,2.0,2.0,0.0,0.0,1
M,presencial,AL,1,10,1,71,2,1,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,571.0,1.0,5.0,,1.0,,,1
M,presencial,CE,1,10,1,29,2,0,1,1,1050.0,0.0,1,0,0,0,0,0,0,1,0,0,605.0,1.0,20.0,0.0,0.0,0.0,0.0,1
M,internet,BA,1,15,1,32,2,0,1,0,365.0,0.0,1,1,0,0,0,0,0,0,1,0,428.0,,,,,,,0
F,presencial,AL,1,10,1,42,2,0,1,1,1150.0,718.0,1,1,0,0,0,0,0,1,1,0,573.0,1.0,30.0,9.0,5.0,0.0,0.0,1
F,internet,MG,1,25,1,42,5,1,1,0,550.0,0.0,1,1,0,0,0,0,0,0,1,0,381.0,2.0,,,,,,0
F,correio,RJ,1,15,1,58,2,2,1,0,210.0,0.0,1,1,0,0,0,0,0,0,1,0,230.0,1.0,1.0,16.0,5.0,11.0,,0
F,internet,SP,1,10,1,34,2,0,1,0,600.0,0.0,1,1,0,0,0,0,0,0,0,0,724.0,1.0,8.0,,2.0,,,0
M,internet,RS,1,10,1,34,2,2,1,0,772.0,0.0,1,1,0,0,0,0,0,0,1,0,932.0,1.0,,9.0,5.0,,,1
M,presencial,RS,1,5,1,43,2,2,1,1,404.0,0.0,1,0,0,0,0,0,0,1,1,0,980.0,1.0,10.0,9.0,2.0,0.0,0.0,1
F,internet,RJ,1,10,1,45,1,1,1,0,202.0,600.0,1,1,0,0,0,0,0,0,0,0,230.0,1.0,8.0,2.0,4.0,,,0
F,presencial,RS,1,10,1,58,7,0,1,1,350.0,0.0,1,0,0,0,0,0,0,1,1,0,948.0,1.0,18.0,9.0,2.0,0.0,0.0,0
F,internet,PE,1,10,1,29,2,0,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,552.0,1.0,10.0,,,,,1
M,presencial,SP,1,25,1,23,1,1,1,0,674.0,0.0,1,1,0,0,0,0,0,0,1,0,715.0,1.0,1.0,9.0,2.0,11.0,,0
F,internet,RS,1,10,1,19,1,0,1,0,650.0,0.0,1,1,0,0,0,0,0,0,1,0,960.0,2.0,2.0,9.0,5.0,,,1
M,presencial,BA,1,5,1,67,2,0,1,1,350.0,0.0,0,1,0,0,0,0,0,1,0,0,450.0,1.0,0.0,0.0,0.0,0.0,0.0,1
M,presencial,MT,1,10,1,24,6,1,1,1,447.0,0.0,1,0,0,0,0,0,0,1,1,0,782.0,1.0,3.0,9.0,2.0,0.0,0.0,0
M,internet,PB,2,5,1,31,1,0,1,0,490.0,0.0,1,1,0,0,0,0,0,0,0,0,582.0,2.0,5.0,9.0,5.0,,,0
M,internet,BA,1,25,1,33,6,0,1,0,760.0,0.0,1,1,0,0,0,0,0,0,0,0,450.0,5.0,14.0,,,,,0
M,presencial,PA,1,10,1,44,1,2,1,1,544.0,0.0,1,0,0,0,0,0,0,1,1,0,685.0,1.0,2.0,9.0,2.0,0.0,0.0,1
F,internet,SP,1,25,1,40,2,2,1,0,600.0,0.0,1,1,0,0,0,0,0,0,0,0,814.0,1.0,7.0,9.0,2.0,,,1
M,internet,MG,2,10,1,45,1,0,1,0,600.0,0.0,1,1,0,0,0,0,0,0,0,0,384.0,1.0,10.0,9.0,2.0,,,0
F,internet,SP,2,10,1,45,2,0,1,0,649.53,0.0,1,1,0,0,0,0,0,0,0,0,338.0,1.0,22.0,11.0,,,,0
F,presencial,GO,1,15,1,25,1,0,1,1,300.0,0.0,1,0,0,0,0,0,0,1,0,0,759.0,1.0,4.0,0.0,4.0,0.0,0.0,0
M,presencial,CE,1,20,1,50,1,5,1,1,491.0,0.0,1,1,0,0,0,0,0,1,1,0,619.0,1.0,2.0,9.0,2.0,0.0,0.0,0
F,correio,PE,1,20,1,49,4,0,1,0,300.0,0.0,1,1,0,0,0,0,0,0,0,0,642.0,1.0,1.0,11.0,4.0,11.0,,1
F,correio,PR,1,25,1,30,2,0,1,0,700.0,0.0,1,1,0,0,0,0,0,0,1,0,844.0,1.0,1.0,9.0,2.0,11.0,,0
F,presencial,PE,1,10,1,32,1,0,1,1,525.0,0.0,1,0,0,0,0,0,0,1,0,0,547.0,1.0,25.0,2.0,5.0,0.0,0.0,1
F,internet,CE,2,1,1,40,1,3,1,0,1016.0,0.0,1,1,0,0,0,0,0,0,0,0,628.0,1.0,10.0,,,,,1
F,internet,PE,1,10,1,40,1,0,1,0,239.0,0.0,1,1,0,0,0,0,0,0,0,0,534.0,1.0,4.0,9.0,4.0,,,0
F,internet,DF,1,25,1,47,1,1,1,0,1000.0,0.0,1,1,0,0,0,0,0,0,0,0,725.0,1.0,15.0,,,,,0
F,presencial,RJ,1,15,1,44,1,0,1,1,1050.0,0.0,1,1,0,0,0,0,0,1,1,0,218.0,1.0,5.0,9.0,2.0,0.0,0.0,1
F,presencial,BA,1,10,1,57,2,0,1,1,1800.0,8341.0,0,1,0,0,0,0,0,1,0,0,486.0,1.0,15.0,16.0,1.0,9.0,1.0,1
F,internet,GO,2,5,1,64,2,0,1,0,361.0,0.0,0,1,0,0,0,0,0,0,1,0,738.0,1.0,12.0,9.0,5.0,,,0
M,internet,AL,1,5,1,41,2,0,1,0,1095.0,0.0,1,1,1,1,1,1,0,0,1,0,573.0,1.0,8.0,9.0,2.0,,,0
F,presencial,MS,1,15,1,23,1,2,1,1,600.0,0.0,1,0,0,0,0,0,0,1,1,0,796.0,5.0,7.0,9.0,2.0,0.0,0.0,1
F,presencial,PB,1,25,1,30,2,0,1,1,1050.0,0.0,1,1,0,0,0,0,0,0,0,0,581.0,,,,,,,0
F,internet,PB,1,5,1,43,4,0,1,0,608.0,0.0,1,1,0,0,0,0,0,0,1,0,580.0,1.0,,,,,,1
M,internet,SP,1,25,1,32,2,3,1,0,715.22,0.0,1,1,0,0,0,0,0,0,1,0,624.0,2.0,1.0,,,9.0,3.0,1
M,presencial,PR,1,10,1,44,2,3,1,1,1200.0,0.0,1,1,0,0,0,0,0,1,1,0,838.0,1.0,10.0,9.0,2.0,0.0,0.0,0
F,presencial,MG,1,10,1,52,2,0,1,1,390.0,0.0,1,0,0,0,0,0,0,1,0,0,393.0,1.0,9.0,0.0,0.0,0.0,0.0,0
M,internet,AC,1,10,1,32,2,1,1,0,681.0,0.0,1,1,0,0,0,0,0,0,1,0,699.0,1.0,10.0,9.0,2.0,,,0
F,presencial,RN,1,1,1,61,1,0,1,1,437.0,0.0,1,0,0,0,0,0,0,1,1,0,596.0,1.0,4.0,0.0,0.0,0.0,0.0,0
F,internet,AL,1,5,1,37,2,0,1,0,688.18,0.0,1,1,0,0,0,0,0,0,0,0,570.0,1.0,11.0,9.0,2.0,,,0
F,presencial,MS,1,5,1,42,2,0,1,1,2000.0,0.0,1,1,0,0,0,0,0,1,1,0,790.0,2.0,0.0,9.0,2.0,0.0,0.0,1
F,presencial,RO,1,1,1,46,0,0,0,1,479.0,0.0,1,1,0,0,0,0,0,1,1,0,789.0,1.0,0.0,11.0,2.0,11.0,0.0,1
F,internet,AL,1,15,1,35,1,0,1,0,499.0,0.0,1,1,0,0,0,0,0,0,1,0,570.0,0.0,1.0,9.0,5.0,,,1
F,internet,PI,1,10,1,48,2,0,1,0,350.0,0.0,0,1,0,0,0,0,0,0,0,0,648.0,2.0,6.0,9.0,2.0,,,1
F,internet,RS,1,10,1,36,2,0,1,0,405.0,0.0,1,1,0,0,0,0,0,0,0,0,964.0,1.0,2.0,,,,,0
F,presencial,AL,1,15,1,37,2,2,1,1,302.0,0.0,1,1,0,0,0,0,0,1,1,0,571.0,1.0,9.0,9.0,2.0,0.0,0.0,1
F,internet,RS,1,10,1,33,2,3,1,0,784.52,0.0,1,1,0,0,0,0,0,0,1,0,935.0,1.0,15.0,9.0,2.0,,,0
M,presencial,SP,1,10,1,57,7,0,1,1,820.0,0.0,1,0,0,0,0,0,0,1,0,0,140.0,2.0,5.0,11.0,1.0,0.0,0.0,1
M,presencial,PA,1,10,1,71,2,1,1,1,812.0,0.0,1,1,0,0,0,0,0,1,1,0,684.0,1.0,18.0,9.0,1.0,0.0,0.0,0
F,presencial,RN,1,10,1,35,1,0,1,1,525.0,0.0,1,0,0,0,0,0,0,1,0,0,596.0,1.0,10.0,0.0,0.0,0.0,0.0,0
M,internet,SP,1,25,1,44,2,3,1,0,620.0,0.0,1,1,0,0,0,0,0,0,1,0,849.0,5.0,4.0,9.0,2.0,,,0
M,internet,SC,1,25,1,23,2,1,1,0,865.0,0.0,1,1,0,0,0,0,0,0,1,0,888.0,2.0,1.0,9.0,2.0,,,0
F,internet,PR,1,10,1,56,3,0,1,0,401.0,0.0,0,1,0,0,0,0,0,0,1,0,840.0,5.0,1.0,9.0,2.0,11.0,,1
F,presencial,PA,1,10,1,71,2,0,1,1,300.0,0.0,0,0,0,0,0,0,0,1,0,0,666.0,1.0,20.0,9.0,1.0,0.0,0.0,1
F,presencial,PB,1,10,1,48,2,0,0,1,1200.0,0.0,1,1,0,0,0,0,0,1,1,0,583.0,1.0,5.0,11.0,4.0,11.0,0.0,1
F,presencial,GO,1,25,1,31,1,0,1,1,350.0,0.0,1,1,0,0,0,0,0,1,0,0,728.0,1.0,1.0,0.0,0.0,0.0,0.0,0
M,internet,SP,7,10,1,53,2,0,1,0,850.0,0.0,1,1,0,0,0,0,0,0,0,0,123.0,,21.0,9.0,4.0,,,0
F,presencial,PR,1,10,1,46,7,2,1,1,350.0,0.0,1,0,0,0,0,0,0,1,1,0,850.0,1.0,20.0,9.0,2.0,0.0,0.0,0
F,internet,MT,1,10,1,45,2,0,1,0,460.0,0.0,1,1,0,0,0,0,0,0,1,0,781.0,1.0,20.0,9.0,2.0,,,0
M,internet,SP,1,10,1,72,7,0,1,0,376.0,0.0,0,1,0,0,0,0,0,0,1,0,169.0,1.0,14.0,9.0,1.0,,,0
M,internet,RN,1,15,1,45,6,2,1,0,359.97,0.0,0,1,0,1,0,0,0,0,0,0,595.0,1.0,25.0,9.0,2.0,,,1
F,internet,BA,1,10,1,36,1,0,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,444.0,1.0,6.0,,,,,0
M,presencial,CE,1,10,1,51,2,6,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,628.0,2.0,10.0,,,,,0
M,presencial,SP,2,15,1,22,2,0,1,0,600.0,0.0,1,1,0,0,0,0,0,0,0,0,172.0,1.0,2.0,,,,,0
F,presencial,PA,1,25,1,22,2,1,0,1,379.0,0.0,0,1,0,0,0,0,0,0,1,0,683.0,1.0,0.0,9.0,2.0,11.0,0.0,1
F,internet,MA,1,15,1,48,4,0,1,0,247.0,0.0,0,1,0,0,0,0,0,0,1,0,659.0,5.0,3.0,9.0,1.0,,,1
M,presencial,RJ,1,5,1,39,1,0,1,1,2521.0,0.0,1,0,0,0,0,0,0,1,1,0,289.0,1.0,6.0,9.0,2.0,0.0,0.0,1
F,internet,SP,1,10,1,24,2,0,1,0,1146.0,0.0,1,1,0,0,0,0,0,0,1,0,714.0,1.0,24.0,9.0,2.0,6.0,,1
F,presencial,CE,1,10,1,79,1,0,1,1,350.0,0.0,0,0,0,0,0,0,0,1,0,0,608.0,1.0,6.0,9.0,1.0,0.0,0.0,1
F,presencial,RS,1,25,1,32,2,2,1,0,600.0,0.0,1,1,0,0,0,0,0,0,1,0,962.0,1.0,10.0,,,,,1
F,internet,MS,1,10,1,38,1,0,1,0,450.0,0.0,1,1,0,0,0,0,0,0,0,0,791.0,,,9.0,,,,1
F,internet,MS,1,5,1,30,2,0,1,0,2500.0,0.0,1,1,0,1,0,0,0,0,1,0,790.0,1.0,5.0,9.0,2.0,,,0
F,presencial,RS,1,5,1,28,1,0,1,1,2192.0,0.0,1,1,1,1,0,0,0,1,1,0,935.0,1.0,5.0,10.0,2.0,0.0,0.0,1
F,presencial,MT,1,15,1,44,2,6,1,1,350.0,0.0,1,1,0,0,0,0,0,1,1,0,780.0,1.0,22.0,9.0,4.0,0.0,0.0,1
M,internet,AM,1,1,1,51,2,2,1,1,2186.0,0.0,0,1,0,0,0,0,0,0,1,0,690.0,0.0,4.0,9.0,5.0,,,0
F,internet,PE,1,15,1,59,1,1,1,0,1800.0,0.0,1,1,0,1,0,0,0,0,0,0,511.0,1.0,4.0,,4.0,,,1
M,presencial,PB,1,1,1,22,1,0,1,1,395.0,0.0,1,1,0,1,0,0,0,1,1,0,581.0,1.0,12.0,9.0,2.0,0.0,4.0,0
M,presencial,PI,7,10,1,84,2,0,1,1,350.0,0.0,1,1,0,0,0,0,0,1,1,0,641.0,1.0,2.0,9.0,1.0,9.0,2.0,1
F,internet,RN,1,15,1,34,2,0,1,0,400.0,0.0,1,1,0,0,0,0,0,0,0,0,596.0,1.0,2.0,,,,,1
F,internet,SP,1,10,1,48,2,0,1,0,361.0,0.0,0,1,0,0,0,0,0,0,0,0,147.0,1.0,,,,,,0
F,internet,TO,1,1,1,40,1,0,1,0,380.0,0.0,1,1,0,0,0,0,0,0,0,0,774.0,1.0,7.0,,,,,1
M,internet,CE,1,15,1,41,2,0,1,0,439.0,0.0,1,1,0,0,0,0,0,0,1,0,628.0,1.0,8.0,9.0,2.0,,,1
M,internet,PA,1,10,1,66,1,2,1,0,741.0,0.0,1,1,1,0,0,0,0,0,0,0,666.0,1.0,10.0,,,,,0
F,internet,CE,1,10,1,65,4,0,1,0,380.0,0.0,1,1,0,0,0,0,0,0,0,0,616.0,1.0,20.0,9.0,1.0,,,1
M,presencial,AM,1,5,1,34,1,0,1,1,969.0,0.0,1,0,0,1,0,0,0,1,1,0,690.0,5.0,4.0,9.0,5.0,0.0,0.0,1
F,internet,GO,2,20,1,28,6,0,1,0,450.0,0.0,1,1,0,0,0,0,0,0,1,0,756.0,0.0,4.0,9.0,2.0,,,1
F,presencial,RS,1,10,1,57,2,0,1,0,350.0,0.0,0,1,0,0,0,0,0,1,0,0,975.0,1.0,20.0,9.0,5.0,0.0,0.0,1
M,internet,DF,1,15,1,34,2,0,1,0,534.0,0.0,1,1,0,0,0,0,0,0,0,0,722.0,1.0,0.0,11.0,5.0,11.0,0.0,1
F,presencial,MG,1,20,1,39,2,0,1,1,700.0,0.0,0,0,0,0,0,0,0,1,1,0,382.0,1.0,8.0,9.0,5.0,0.0,0.0,0
F,internet,PB,1,15,1,50,2,0,1,0,2500.0,0.0,0,1,0,1,0,0,0,0,0,0,581.0,1.0,,,,,,0
F,internet,PR,1,15,1,19,1,0,1,0,600.31,0.0,1,1,0,0,0,0,0,0,1,0,837.0,,,,,,,0
F,internet,SP,1,10,1,35,2,0,1,0,582.0,0.0,1,1,1,0,0,0,0,0,1,0,621.0,2.0,3.0,9.0,5.0,,,1
F,internet,SP,1,15,1,65,4,0,1,0,308.0,0.0,1,1,0,0,0,0,0,0,0,0,144.0,1.0,40.0,9.0,1.0,,,0
M,internet,PE,1,5,1,76,5,3,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,513.0,1.0,3.0,,,,,0
M,internet,MT,1,10,1,29,1,0,1,0,700.0,0.0,1,1,0,0,0,0,0,0,0,0,783.0,1.0,2.0,2.0,5.0,,,0
F,internet,SP,1,25,2,20,1,0,1,0,647.0,1500.0,1,1,1,0,0,0,0,0,1,0,129.0,1.0,10.0,9.0,5.0,,,1
F,internet,RN,1,15,1,35,2,0,1,0,800.0,0.0,1,1,0,0,0,0,0,0,0,0,591.0,1.0,4.0,9.0,5.0,,,0
F,presencial,SP,1,10,1,56,2,1,1,1,350.0,0.0,0,0,0,0,0,0,0,1,1,0,127.0,1.0,15.0,0.0,0.0,0.0,0.0,1
M,internet,RS,1,20,1,45,5,0,1,0,517.0,0.0,1,1,0,0,0,0,0,0,0,0,917.0,1.0,4.0,9.0,1.0,,,1
M,presencial,SC,2,10,1,40,2,1,1,1,686.0,0.0,1,1,0,0,0,0,0,0,1,0,880.0,1.0,12.0,,2.0,,,0
F,internet,RJ,1,10,1,66,4,0,1,0,477.0,0.0,1,1,0,0,0,0,0,0,0,0,209.0,1.0,10.0,,1.0,,,0
M,internet,PR,1,10,1,29,2,0,1,0,429.0,0.0,1,1,0,0,0,0,0,0,1,0,867.0,1.0,1.0,9.0,2.0,,,0
M,presencial,MG,1,10,1,31,2,4,1,1,670.0,0.0,1,1,0,0,0,0,0,1,1,0,372.0,1.0,5.0,9.0,5.0,11.0,0.0,1
M,presencial,PE,1,10,1,57,4,0,1,1,1873.0,0.0,1,1,1,0,0,0,0,0,0,0,530.0,2.0,2.0,9.0,5.0,,,0
M,internet,SP,2,10,1,48,4,0,1,0,1124.0,0.0,1,1,0,0,1,0,0,0,0,0,171.0,1.0,,,,,,1
M,presencial,MG,1,20,1,35,2,2,1,1,447.0,0.0,1,0,0,0,0,0,0,1,1,0,357.0,1.0,25.0,9.0,2.0,0.0,0.0,1
M,internet,PA,1,5,1,24,6,0,1,0,380.0,0.0,1,1,0,0,0,0,0,0,0,0,684.0,1.0,2.0,9.0,2.0,,,0
F,internet,CE,1,5,1,70,2,0,1,0,350.0,0.0,1,1,1,1,0,0,0,0,0,0,604.0,1.0,10.0,9.0,1.0,,,0
F,internet,CE,1,10,1,41,1,0,1,0,359.0,0.0,1,1,0,0,0,0,0,0,1,0,607.0,1.0,10.0,9.0,2.0,,,0
M,internet,PI,1,25,1,26,2,0,1,0,377.17,0.0,1,1,0,0,0,0,0,0,1,0,642.0,1.0,2.0,,2.0,,,0
M,internet,MT,1,10,1,33,1,0,1,0,890.0,0.0,1,1,0,0,0,0,0,0,1,0,781.0,1.0,4.0,9.0,,,,1
M,internet,RR,1,5,1,35,2,3,1,0,701.0,0.0,1,1,0,0,0,0,0,0,1,0,693.0,1.0,10.0,9.0,2.0,,,1
M,internet,SE,1,10,1,22,2,0,1,0,350.0,350.0,1,1,0,0,0,0,0,0,0,0,492.0,1.0,15.0,9.0,5.0,,,1
F,internet,SP,1,10,1,31,2,2,1,0,1171.0,0.0,1,1,0,0,0,0,0,0,0,0,670.0,1.0,15.0,11.0,,,,1
M,correio,AL,1,15,1,42,1,3,1,0,372.0,0.0,1,1,0,0,0,0,0,0,1,0,570.0,1.0,1.0,11.0,2.0,11.0,,1
M,internet,RS,1,25,1,31,1,2,1,0,698.25,0.0,1,1,0,0,0,0,0,0,1,0,934.0,1.0,6.0,9.0,2.0,,,1
M,internet,SP,1,10,1,40,1,0,1,0,334.5,0.0,1,1,0,0,0,0,0,0,0,0,398.0,,,,,,,0
F,internet,SP,1,25,1,29,2,3,1,0,300.0,0.0,1,1,0,0,0,0,0,0,1,0,644.0,1.0,8.0,12.0,2.0,,,1
F,internet,CE,1,10,1,26,1,0,1,0,500.0,0.0,1,1,0,0,0,0,0,0,0,0,618.0,1.0,20.0,2.0,4.0,,,1
M,internet,MG,2,25,1,39,2,0,1,0,452.64,0.0,0,1,0,0,0,0,0,0,1,0,375.0,1.0,8.0,9.0,2.0,,,1
F,presencial,RN,1,5,1,34,2,2,1,0,412.0,0.0,0,1,0,1,0,0,0,0,1,0,596.0,1.0,2.0,,2.0,,,1
F,presencial,CE,1,15,1,64,1,0,1,1,360.0,0.0,1,1,0,1,0,0,0,1,0,0,604.0,5.0,1.0,9.0,1.0,0.0,0.0,0
F,internet,RS,1,10,1,36,2,0,1,0,2500.0,0.0,1,1,0,0,0,0,0,0,0,0,961.0,1.0,14.0,10.0,3.0,,,0
F,internet,RN,1,5,1,59,1,1,1,0,564.0,0.0,1,1,1,1,0,0,0,0,0,0,595.0,1.0,30.0,9.0,5.0,,,0
F,presencial,MG,1,10,1,34,2,0,0,1,394.0,0.0,1,1,0,0,0,0,0,1,1,0,361.0,2.0,0.0,11.0,2.0,11.0,0.0,0
M,presencial,RJ,1,5,1,57,2,0,1,1,700.0,0.0,1,0,1,0,0,0,0,1,0,0,248.0,1.0,34.0,9.0,4.0,0.0,0.0,0
F,presencial,RJ,1,5,1,65,4,0,1,1,350.0,280.0,0,0,0,0,0,0,0,1,0,0,272.0,1.0,5.0,9.0,1.0,0.0,0.0,1
F,internet,SP,1,10,1,44,3,1,1,0,376.0,0.0,1,1,0,0,0,0,0,0,0,0,760.0,1.0,21.0,9.0,1.0,,,1
M,internet,RJ,1,10,1,77,2,0,1,0,1022.0,0.0,1,1,0,0,0,0,0,0,0,0,289.0,2.0,2.0,9.0,1.0,,,0
F,internet,SP,1,10,1,39,2,0,1,0,1236.0,0.0,1,1,0,0,0,0,0,0,1,0,847.0,1.0,10.0,,,,,0
M,correio,TO,1,15,1,32,2,4,1,0,936.0,0.0,1,1,0,0,0,0,0,0,1,0,778.0,1.0,1.0,9.0,2.0,11.0,,0
F,internet,BA,1,10,1,29,1,0,1,0,800.0,0.0,1,1,0,0,0,0,0,0,0,0,603.0,1.0,22.0,9.0,4.0,,,0
M,correio,MG,1,10,1,23,1,0,1,0,283.0,0.0,1,1,0,0,0,0,0,0,1,0,332.0,1.0,1.0,9.0,2.0,11.0,,1
M,presencial,RS,1,15,1,40,2,4,1,1,920.0,0.0,1,1,1,1,0,0,0,1,1,0,960.0,1.0,1.0,9.0,5.0,0.0,0.0,0
M,internet,SP,1,20,1,26,2,2,1,1,496.2,0.0,1,1,1,1,0,0,0,0,1,0,670.0,1.0,3.0,9.0,2.0,,,1
M,internet,PA,1,10,1,32,1,2,1,0,548.0,0.0,1,1,0,0,0,0,0,0,0,0,684.0,1.0,5.0,11.0,,,,0
F,internet,AL,1,25,1,40,2,1,1,0,420.0,0.0,1,1,0,0,0,0,0,0,0,0,570.0,2.0,3.0,9.0,4.0,,,0
F,correio,RS,1,10,1,21,1,0,1,0,423.0,0.0,1,1,0,0,0,0,0,0,1,0,934.0,1.0,1.0,9.0,2.0,11.0,,0
F,presencial,PE,1,10,1,39,4,2,1,0,467.0,76.0,1,1,0,0,0,0,0,0,0,0,558.0,1.0,6.0,9.0,1.0,,,0
F,presencial,AL,1,15,1,21,2,1,1,1,210.0,0.0,1,1,0,1,0,0,0,1,0,0,570.0,1.0,10.0,9.0,5.0,0.0,0.0,1
M,internet,GO,1,15,1,20,2,0,1,0,800.0,0.0,1,1,0,0,0,0,0,0,1,0,755.0,5.0,6.0,9.0,2.0,,,1
F,internet,BA,1,1,1,61,1,0,1,0,350.0,0.0,1,1,0,0,0,0,0,0,0,0,455.0,1.0,12.0,,4.0,,,1
M,presencial,GO,1,25,1,39,1,0,0,1,371.0,0.0,1,1,0,0,0,0,0,1,1,0,755.0,0.0,0.0,9.0,2.0,11.0,0.0,0
F,internet,RS,1,10,1,48,4,0,1,0,350.0,0.0,0,1,0,0,0,0,0,0,0,0,952.0,2.0,3.0,9.0,5.0,,,0
F,presencial,MT,1,20,1,36,2,0,1,0,1320.0,0.0,0,1,0,0,0,0,0,0,1,0,780.0,1.0,12.0,9.0,3.0,,,1
M,internet,CE,1,5,1,88,4,1,1,0,800.0,0.0,1,1,0,0,0,0,0,0,0,0,639.0,1.0,,,,,,1
F,internet,RN,1,10,1,49,3,0,1,0,300.0,0.0,0,1,0,0,0,0,0,0,0,0,596.0,1.0,2.0,2.0,4.0,,,1
F,internet,CE,1,5,1,60,2,0,1,0,1600.0,0.0,1,1,1,0,0,0,0,0,1,0,616.0,1.0,26.0,9.0,4.0,,,1
F,internet,SP,1,25,1,18,1,0,1,0,600.0,0.0,1,1,0,0,0,0,0,0,0,0,714.0,1.0,,11.0,,,,1
M,presencial,RS,1,25,1,29,2,1,1,1,625.0,0.0,1,0,0,0,0,0,0,1,1,0,944.0,1.0,10.0,9.0,2.0,0.0,0.0,1
F,internet,PR,1,15,1,43,2,0,1,0,345.0,100.0,1,1,0,0,0,0,0,0,0,0,840.0,1.0,30.0,16.0,2.0,,,1
M,internet,PA,1,20,1,37,6,4,1,0,523.52,0.0,1,1,0,0,0,0,0,0,1,0,685.0,1.0,0.0,9.0,5.0,,,0
F,internet,GO,1,15,1,29,2,0,1,0,451.0,0.0,1,1,0,0,0,0,0,0,1,0,752.0,1.0,7.0,9.0,2.0,,,0
M,presencial,BA,1,10,1,31,1,1,1,1,1327.0,0.0,1,1,0,0,0,0,0,0,1,0,456.0,1.0,15.0,9.0,2.0,,,1
M,internet,RN,1,25,1,31,2,1,1,0,387.0,0.0,1,1,0,0,0,0,0,0,0,0,596.0,1.0,2.0,,,,,1
F,internet,SP,2,5,1,25,2,4,1,0,440.0,0.0,1,1,0,0,0,0,0,0,1,0,125.0,1.0,25.0,,,,,0
F,presencial,SP,2,20,1,57,4,0,1,1,350.0,0.0,1,1,0,0,0,0,0,1,0,0,186.0,1.0,1.0,0.0,0.0,0.0,0.0,1
F,internet,SE,1,25,1,61,1,0,1,0,491.0,0.0,1,1,0,0,0,0,0,0,0,0,490.0,1.0,10.0,,,,,1
F,internet,RS,1,10,1,67,1,0,1,0,476.0,0.0,0,1,1,0,0,0,0,0,1,0,941.0,1.0,7.0,9.0,1.0,,,0
M,presencial,MG,1,25,1,40,1,2,1,1,1100.0,0.0,1,0,0,0,0,0,0,1,1,0,389.0,1.0,3.0,0.0,0.0,0.0,0.0,0
M,presencial,BA,2,10,1,39,6,0,1,1,430.0,0.0,1,1,0,0,0,0,0,1,1,0,459.0,1.0,15.0,9.0,2.0,0.0,0.0,1
F,internet,RS,7,5,1,71,4,0,1,0,545.0,0.0,0,1,0,0,0,0,0,0,0,0,948.0,1.0,36.0,9.0,5.0,,,1
F,presencial,RS,1,20,1,38,1,3,1,0,690.0,0.0,1,1,0,0,0,0,0,0,0,0,962.0,1.0,15.0,16.0,5.0,,,1
M,presencial,PR,1,10,2,37,2,0,1,1,580.0,0.0,0,0,0,0,0,0,0,1,1,0,867.0,1.0,10.0,9.0,2.0,0.0,0.0,0
